training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
48.301365,0.22047482,0.0025559564,0.04450526,-47.314102,47.314102,0.21003637,-25.038113,-47.31157,-50.599094,3.8902793,-4.2882957,50.26204,49.030075,0.22668152,0.0025999094,0.0327609,-48.023422,48.023422,0.1235961,-21.240078,-48.02352,-50.598072,0.037873030281066894,189.36515927314758,5000
82.2484,0.17374657,0.0017599755,0.031274647,-81.54666,81.54666,0.25735548,-38.238895,-81.5692,-84.942406,3.617148,-0.97475374,57.655445,83.57026,0.21393275,0.0017913528,0.028945599,-82.818924,82.818924,0.5791327,-48.635822,-82.81853,-85.052795,0.0018868415355682373,198.79937195777893,10000
108.888306,0.19087705,0.0014510984,0.03195523,-108.2621,108.2621,7.8897376,-48.280216,-108.30621,-112.832016,17.54332,-19.645308,513.0653,110.423386,0.20453063,0.0024749902,0.028667523,-109.47636,109.47636,5.5177665,-53.61985,-109.514755,-113.06521,0.0018636961936950684,208.1178572177887,15000
128.5222,0.18543366,0.0015705675,0.023763653,-127.8656,127.8656,1.8335868,-55.435757,-127.85399,-134.82271,14.171714,-18.747208,359.2955,130.97035,0.20251103,0.0012300982,0.02620609,-130.39882,130.39882,7.538741,-56.471836,-130.38022,-134.59995,0.0018718154430389404,217.47693991661072,20000
143.89476,0.19706592,0.0012582975,0.028025622,-143.3202,143.3202,1.2622442,-66.18235,-143.3251,-151.7545,2.4923053,-2.9764488,101.2281,146.03557,0.16705744,0.0011359135,0.02761498,-145.52774,145.52774,19.396511,-70.98272,-145.5172,-152.0778,0.0018597573280334473,226.77572965621948,25000
154.90323,0.21714106,0.0016399274,0.037305843,-154.1941,154.1941,3.4896517,-61.016464,-154.30084,-166.09778,5.7888255,-6.105851,236.08948,158.5795,0.19120239,0.0013812882,0.023728829,-157.9739,157.9739,25.758999,-79.618286,-158.03471,-165.80048,0.0018630889415740966,236.09117770195007,30000
167.46858,0.19010094,0.0018425984,0.033603188,-166.72571,166.72571,7.122246,-67.92945,-166.60622,-176.09143,18.368975,-17.599041,526.5775,168.06192,0.18092494,0.0022016538,0.02685538,-167.2205,167.2205,16.028482,-75.31745,-167.30832,-174.71297,0.0018650084495544434,245.41622376441956,35000
171.48836,0.18567601,0.002995119,0.027620554,-170.40414,170.40414,2.602779,0.5419006,-170.58781,-182.20015,3.182053,-3.3811612,182.1175,174.4417,0.2053169,0.001707375,0.027609125,-173.72417,173.72417,10.818695,-58.18371,-173.7021,-182.08197,0.0018498459339141846,254.6654567718506,40000
177.01169,0.17853223,0.0016265567,0.032864682,-176.34518,176.34518,1.7920277,-48.047306,-176.49751,-189.70895,2.2863102,-2.2139437,94.05779,176.49332,0.18984716,0.0012358902,0.02921825,-175.93271,175.93271,24.257427,-68.861534,-175.87387,-188.54105,0.001834386920928955,263.83739471435547,45000
168.18466,0.14974718,0.002398808,0.023964746,-167.31528,167.31528,4.59526,-44.998817,-167.8623,-190.28139,6.061308,-6.9277086,209.84138,173.2996,0.1597905,0.0024158992,0.024491718,-172.41504,172.41504,10.710465,-78.905396,-172.87598,-189.84108,0.0018617634296417237,273.1462173461914,50000
