training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
71.95224,0.19184883,0.002098457,0.029518122,-71.13085,71.13085,0.21331105,-39.229023,-71.14283,-73.86552,2.4400332,-0.426145,37.295258,71.72191,0.20026906,0.0023723552,0.03699376,-70.80994,70.80994,0.3261271,-49.780323,-70.81055,-73.83238,0.07519789900779725,375.98950242996216,5000
122.24424,0.16252235,0.002107469,0.034508064,-121.44948,121.44948,1.0417199,-59.637444,-121.443436,-125.227936,4.541418,-1.5647779,90.91939,122.15503,0.20628224,0.0017752178,0.03814188,-121.41618,121.41618,1.1139712,-88.597374,-121.42477,-125.31311,0.001858620548248291,385.28260922431946,10000
162.4091,0.17307357,0.002537965,0.036083158,-161.47464,161.47464,1.0337057,-108.636665,-161.4813,-166.63976,4.3510404,-3.6782541,118.77995,161.32196,0.20592399,0.0021852858,0.035084486,-160.46045,160.46045,3.4531307,-85.238205,-160.48111,-166.56477,0.0018464168071746826,394.5146963596344,15000
192.62779,0.19916593,0.0015060626,0.033621583,-191.9768,191.9768,2.5362902,-130.81145,-191.97064,-199.09598,5.448777,-4.3545265,255.16925,193.92221,0.20933054,0.0020403631,0.03525693,-193.10077,193.10077,12.696218,-115.18682,-193.09875,-198.93425,0.0018401602268218993,403.71550011634827,20000
217.64034,0.22651935,0.0011615455,0.034837052,-217.06535,217.06535,1.072959,-83.59816,-217.0586,-225.07733,2.5214062,-1.8551532,112.71271,219.5187,0.18845308,0.0011724152,0.029751271,-218.97853,218.97853,13.057989,-113.77487,-218.9692,-225.15881,0.0018452258110046387,412.94163274765015,25000
235.57388,0.17983258,0.0016396352,0.041552912,-234.90216,234.90216,4.0785484,-117.17214,-234.90607,-246.01932,6.76637,-5.620906,271.27478,239.02127,0.21006015,0.0020096777,0.036688138,-238.20831,238.20831,33.635506,-124.9105,-238.21326,-245.11162,0.001825482225418091,422.06904649734497,30000
248.79868,0.18392669,0.0010902238,0.021364262,-248.28769,248.28769,3.4114645,-83.614006,-248.24023,-261.81213,8.987887,-8.901624,294.81808,253.56335,0.17622724,0.0017870561,0.031540748,-252.85101,252.85101,26.154448,-170.04613,-252.8511,-261.588,0.0018359299182891845,431.24869894981384,35000
264.31552,0.20140283,0.0017679658,0.04313371,-263.58374,263.58374,2.2306895,-152.62248,-263.5186,-274.5734,9.028993,-6.0951633,217.67737,261.84137,0.21427965,0.0027834666,0.03292335,-260.79205,260.79205,38.248528,-138.06834,-260.846,-273.87067,0.0018474103927612305,440.4857544898987,40000
270.74893,0.15133712,0.0012491846,0.028547332,-270.22284,270.22284,2.5562177,-165.99014,-270.2895,-283.9194,7.086066,-10.640054,325.92807,273.63907,0.15861619,0.0012798466,0.026922954,-273.0965,273.0965,20.449749,-173.24942,-273.04343,-283.75595,0.0018455307960510254,449.7134122848511,45000
278.41632,0.1348095,0.0014588393,0.029371083,-277.84387,277.84387,6.383251,-121.5092,-277.81122,-291.39883,20.777882,-13.389412,535.27844,277.392,0.18925135,0.001510616,0.04242441,-276.74957,276.74957,32.51731,-138.08846,-276.73135,-291.49323,0.0018392661571502685,458.90974617004395,50000
