training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
75.852974,0.2716004,0.0044276784,0.05640651,-74.25307,74.25307,1.8854884,-10.712789,-74.2468,-117.01504,4.9745245,-8.18965,149.77931,73.302536,0.27430046,0.0045584724,0.067665555,-71.66069,71.66069,1.348851,-14.615645,-71.82013,-117.03604,0.07376484069824218,368.8242099285126,5000
123.24862,0.20737372,0.004008609,0.053038884,-121.83866,121.83866,3.8899486,1.5602272,-122.24886,-201.51091,4.779201,-2.606534,181.67154,122.20351,0.24690333,0.004934997,0.04771715,-120.476105,120.476105,5.7832212,-12.097755,-121.06387,-201.52597,0.0017386714458465576,377.51757049560547,10000
149.79506,0.18679695,0.005039099,0.03010106,-148.09653,148.09653,10.42514,-24.911692,-149.61792,-263.0993,14.516769,-14.458139,464.12488,139.90906,0.23591554,0.005088227,0.04850125,-138.14667,138.14667,21.495602,-4.8295746,-139.42871,-263.197,0.001736196517944336,386.19855642318726,15000
155.34793,0.19168144,0.004791438,0.03355172,-153.71881,153.71881,7.138466,3.166932,-155.27423,-290.97812,4.669435,-4.73374,330.61282,146.55286,0.18840615,0.0049909144,0.037253626,-144.86717,144.86717,61.907913,-13.5594015,-146.4739,-283.93652,0.0017343833446502685,394.87047600746155,20000
163.7946,0.1904448,0.0063109808,0.043065872,-161.71086,161.71086,6.6152287,2.3911295,-163.65036,-297.62692,12.427692,-14.062225,458.82486,157.18053,0.17462865,0.004877221,0.03676897,-155.54272,155.54272,18.790064,-12.922633,-156.70291,-305.4183,0.0017346858024597169,403.54390811920166,25000
160.96866,0.16767772,0.004733424,0.034316327,-159.38095,159.38095,5.643111,-0.0798403,-160.91263,-302.7205,5.754333,-5.0241327,226.47574,158.45276,0.18614493,0.0050748824,0.046731755,-156.74416,156.74416,16.495165,-19.506767,-158.28244,-294.61835,0.0017367424488067627,412.2276232242584,30000
163.6164,0.18484364,0.0066077635,0.030801741,-161.44922,161.44922,21.036148,-20.36929,-163.27205,-291.23325,16.125134,-17.458078,778.0288,157.18593,0.1947968,0.005549974,0.039185178,-155.32614,155.32614,20.739498,-22.771473,-157.0604,-292.68564,0.0017407693862915039,420.9314727783203,35000
171.5205,0.17919484,0.0062592253,0.03362743,-169.46353,169.46353,6.7843027,-18.293505,-171.25165,-305.14886,7.969016,-8.943779,267.43826,161.19597,0.19868985,0.0064158337,0.03712935,-159.07253,159.07253,13.98592,-22.764006,-160.9045,-301.05215,0.001738753318786621,429.62524247169495,40000
163.25612,0.17986968,0.005178261,0.03576694,-161.52277,161.52277,10.204292,-3.8379743,-163.2401,-308.04846,21.229757,-22.21885,612.6378,158.45093,0.1994917,0.006036053,0.03051425,-156.44061,156.44061,13.429254,0.985782,-157.90869,-303.16635,0.0017394874095916749,438.3226828575134,45000
163.48325,0.17332625,0.0059548793,0.03841266,-161.52345,161.52345,7.8808203,-19.89274,-163.07703,-300.27362,6.656907,-8.653466,328.91675,156.2607,0.19486466,0.0045062387,0.037523728,-154.71396,154.71396,11.67728,-23.16042,-155.87636,-293.76892,0.0017412389278411865,447.02888011932373,50000
156.99408,0.17976348,0.004609022,0.028782925,-155.43161,155.43161,6.0608783,-18.926796,-157.20288,-301.92807,2.3913908,-2.424757,192.70215,161.21288,0.19258109,0.0069166855,0.027540429,-158.94528,158.94528,28.136028,-21.336628,-160.40353,-298.1276,0.0017417471408843995,455.7376184463501,55000
153.77292,0.18380691,0.0048928405,0.043985195,-152.12126,152.12126,6.0656667,3.4504795,-153.6412,-289.27115,10.690749,-10.744571,270.83316,160.42224,0.16065739,0.0049096155,0.035011005,-158.7887,158.7887,18.324942,-8.617741,-160.28012,-283.83176,0.001741477394104004,464.4450087547302,60000
168.84859,0.22455347,0.007116623,0.03883976,-166.48904,166.48904,9.052258,1.7155142,-168.26047,-297.3294,15.58933,-13.93677,541.5438,161.22887,0.17902975,0.0060358294,0.03993234,-159.23909,159.23909,16.649975,1.028324,-160.49658,-292.43344,0.0017420400142669679,473.155211687088,65000
164.25722,0.19123437,0.0049346196,0.038000267,-162.5856,162.5856,8.3034315,-15.845027,-164.02103,-292.35846,18.002058,-19.315563,505.1994,161.4165,0.15236376,0.0054256544,0.031371832,-159.63644,159.63644,32.56576,-2.1952436,-161.367,-295.9755,0.0017428627014160155,481.8695285320282,70000
168.96355,0.1774675,0.004337586,0.03237177,-167.4848,167.4848,6.4064846,-21.36385,-168.74036,-295.0272,5.0366006,-4.361789,237.10696,162.10799,0.15142554,0.0043613785,0.03632626,-160.64815,160.64815,20.913708,-34.08884,-161.87198,-289.34164,0.0017422826766967773,490.58094453811646,75000
165.13959,0.18779133,0.005746908,0.03633967,-163.22772,163.22772,14.086481,-11.854284,-165.32196,-296.19138,6.0519447,-6.6444407,291.6333,164.04305,0.18712972,0.005734607,0.039102484,-162.13553,162.13553,22.423258,3.1938877,-164.01227,-306.61545,0.0017429837226867677,499.2958662509918,80000
166.19087,0.16428895,0.005762677,0.04322216,-164.29778,164.29778,8.874138,-12.74073,-165.92746,-300.68457,13.625416,-13.30377,432.62988,163.3046,0.17633262,0.0064208484,0.03388745,-161.20201,161.20201,34.29881,1.3752728,-162.93837,-303.78314,0.001743349027633667,508.0126144886017,85000
170.35127,0.12886399,0.0062027634,0.039236493,-168.36157,168.36157,6.41222,-5.512143,-169.98029,-310.85898,4.1050863,-3.7595973,249.46762,166.45146,0.16501056,0.00528671,0.031756427,-164.70044,164.70044,12.201795,1.7627368,-166.07639,-289.03262,0.001742608118057251,516.7256581783295,90000
163.98935,0.18397762,0.006700061,0.026524654,-161.79535,161.79535,6.129625,-19.848465,-163.31851,-286.78818,8.29071,-6.763861,271.69324,158.60106,0.18833931,0.005238484,0.026295641,-156.84117,156.84117,11.430081,-4.6249156,-158.0285,-302.49472,0.00174652099609375,525.4582657814026,95000
