training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,time/epoch_time,time/total_time,step
14.92526,-4.6422386,13.926715,0.019018317,5.1809044,0.9985444,-5.173364,1.0,0.99903774,0.33007812,0.0043975166,-15.777384,-15.789352,-3.5334582,5.6840215,0.1340326,7.20368e-06,0.08590692,-0.107015476,1.0014544,14.919151,-4.6398444,13.919534,0.018060723,4.901326,0.9996173,-4.8994513,1.0,0.9990177,0.23828125,0.0048248796,-15.450764,-15.46235,-3.5980997,25.5139,0.13944452,4.9918685e-07,0.01857609786987305,92.88049697875977,5000
14.912443,-4.6401334,13.920402,0.018176427,4.694128,0.9920417,-4.6567717,1.0,0.99907875,0.3955078,0.0040172557,-14.672304,-14.6838,-2.9131873,13.02123,0.3469683,1.836665e-05,0.08875826,-0.13141806,0.79476243,14.911482,-4.638795,13.916384,0.017640883,5.1515923,0.9950984,-5.1263423,1.0,0.99894524,0.28515625,0.004590664,-14.6156845,-14.626767,-3.2783756,43.116634,0.304891,2.2123595e-06,0.003629588985443115,111.0284469127655,10000
14.8991585,-4.6390743,13.917225,0.017752836,4.948921,0.9819333,-4.8595114,1.0,0.99913406,0.41601562,0.003827882,-14.383495,-14.394918,-2.6977108,31.072508,0.59550613,6.8274886e-07,0.1092443,-0.09501974,0.83421904,14.911992,-4.6392746,13.917824,0.01783288,5.497119,0.99416864,-5.465064,1.0,0.99891853,0.29785156,0.0047861543,-14.329593,-14.340334,-3.3412604,22.371298,0.43479145,2.5385539e-08,0.0036645103454589845,129.3510024547577,15000
14.91264,-4.644807,13.93442,0.02004568,4.823526,0.97821975,-4.718469,1.0,0.99914455,0.48046875,0.003404463,-14.965677,-14.97813,-2.2260985,29.417755,0.84917724,1.6177363e-07,0.082075104,-0.13764471,1.011605,14.884914,-4.6348104,13.904429,0.016046954,5.9572444,0.9804849,-5.840989,1.0,0.9988537,0.2890625,0.0051014377,-14.928488,-14.939658,-3.500415,43.426296,0.7457715,3.5956194e-08,0.0037447402954101563,148.07470798492432,20000
14.879864,-4.638832,13.916495,0.017655732,4.7487826,0.96336883,-4.57483,1.0,0.9992075,0.5810547,0.002894219,-15.969606,-15.983644,-1.6092944,69.31999,1.3394542,1.5961461e-06,0.079097666,-0.10805991,0.8374065,14.911876,-4.643235,13.929706,0.019417046,6.6895733,0.9821705,-6.5703025,1.0,0.9988928,0.2890625,0.005428314,-15.909981,-15.921686,-3.9356284,119.77214,0.97918427,2.2465132e-08,0.003715478324890137,166.65210485458374,25000
14.865078,-4.634347,13.903042,0.015861785,4.7056017,0.9620364,-4.526961,1.0,0.99924755,0.63671875,0.002523438,-16.62465,-16.639751,-1.175809,362.43845,1.9900708,1.2351501e-05,0.069790676,-0.069461666,0.7427383,14.882826,-4.6348906,13.904671,0.016079087,7.7693696,0.97815496,-7.5996485,1.0,0.9987793,0.28222656,0.0060602743,-16.553679,-16.56566,-4.2941813,81.98358,1.514176,2.2419875e-09,0.00371106653213501,185.2074418067932,30000
14.846644,-4.6347,13.904099,0.016002877,4.6116447,0.942545,-4.3466835,1.0,0.9992418,0.6582031,0.0024639403,-17.123678,-17.139307,-1.1359849,426.43277,1.9543726,1.0486876e-06,0.12269327,-0.11377596,0.9254032,14.902977,-4.6408224,13.922467,0.018451924,8.224333,0.9805096,-8.064038,1.0,0.9987736,0.2607422,0.006430835,-17.038877,-17.050936,-4.703454,748.9865,1.9523662,1.3542296e-10,0.003705209541320801,203.7334942817688,35000
14.820169,-4.630403,13.89121,0.014284238,4.7848973,0.9289601,-4.4449797,1.0,0.9993143,0.6982422,0.0022899401,-17.677053,-17.693449,-0.90278924,178.39275,2.3587742,2.1622686e-06,0.080918595,-0.11777614,0.81201476,14.886217,-4.637411,13.912233,0.01708741,8.425286,0.9739833,-8.206089,1.0,0.998744,0.24707031,0.0067895055,-17.674719,-17.687164,-4.9424124,841.0741,3.6563675,2.2519764e-10,0.003725143575668335,222.3592221736908,40000
14.853245,-4.6373215,13.911964,0.017051443,4.7376823,0.94127995,-4.4594865,1.0,0.99932766,0.69921875,0.0021886511,-18.113873,-18.130861,-0.73626184,158.24887,2.4811277,1.4097234e-11,0.17317179,-0.07601817,0.90527654,14.89664,-4.638773,13.916319,0.017632121,8.860984,0.9803209,-8.686608,1.0,0.9987831,0.25878906,0.007042065,-17.932924,-17.945349,-5.2221727,564.2139,3.6542907,3.5404785e-10,0.0037256499767303465,240.98747897148132,45000
14.833143,-4.6340733,13.90222,0.015752302,4.508254,0.93092346,-4.1968403,1.0,0.9992943,0.7109375,0.0021123379,-18.451488,-18.468828,-0.71550167,119.73189,2.4008253,2.941584e-09,0.0673691,-0.067642376,0.7336727,14.894563,-4.6388965,13.916689,0.017681543,9.17898,0.97787374,-8.975884,1.0,0.99873257,0.24707031,0.007436596,-18.617249,-18.63001,-5.5628996,481.94785,2.9446144,2.454794e-11,0.0037143229961395263,259.5590977668762,50000
