training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
4.9210396,-5.094112,122.94477,278.41077,0.99234915,-10.119997,0.1861223,1.0,121.48323,0.825227,-4.6533914,0.023479423,1.0,0.18746816,-16.622011,-25.728018,0.5576383,266.3088,0.81428444,-10.165421,0.19520697,1.0,127.95407,0.851701,-4.655794,0.024440594,1.0,0.1687809,-17.107073,-25.736057,0.43628046,0.020619739198684692,103.09870314598083,5000
8.670848,-5.3296137,133.6364,522.1986,1.244304,-9.927866,0.14769612,1.0,117.42616,0.79330903,-4.6564794,0.024714569,1.0,0.49049047,-25.331158,-43.46415,0.71221757,531.4779,1.3256032,-9.907946,0.14371216,1.0,130.49683,0.85168874,-4.645542,0.020339875,1.0,0.2579756,-25.542362,-43.31437,0.85293305,0.003810367727279663,122.15054655075073,10000
5.901408,-2.964663,153.05026,620.73425,2.045701,-9.728774,0.107877806,1.0,137.47101,0.96142304,-4.645954,0.020504659,1.0,0.16553551,-31.118464,-56.901665,1.0925379,603.8075,1.4599826,-9.842815,0.13068603,1.0,134.26913,0.9026331,-4.63964,0.017978765,1.0,0.2765286,-30.337631,-56.774944,1.6830189,0.003811853885650635,141.20981979370117,15000
5.415017,-2.3620362,129.01651,646.03705,1.9124762,-9.740706,0.11026428,1.0,132.33607,0.9071578,-4.6424236,0.019092565,1.0,0.44345787,-34.47717,-67.32211,2.1287704,655.7346,1.4494607,-9.756424,0.11340781,1.0,123.786835,0.8508322,-4.646529,0.020734651,1.0,0.22589347,-34.45735,-67.29547,1.8563678,0.0038242515563964843,160.33108019828796,20000
6.231602,-8.271426,210.33055,658.0693,1.9994749,-9.746193,0.1113615,1.0,128.61166,0.93270034,-4.6404057,0.018285159,1.0,0.16122136,-36.359955,-75.513565,1.272663,663.24963,1.6359949,-9.756499,0.11342295,1.0,138.01581,0.99657583,-4.6362467,0.016621508,1.0,0.1600329,-36.304977,-75.45889,2.1270742,0.0038286393642425537,179.47428035736084,25000
4.1769915,-3.254894,198.2843,672.7202,2.0902543,-9.63341,0.088805124,1.0,120.78961,0.93095505,-4.6408234,0.018452397,1.0,0.27952468,-38.461544,-81.79422,2.89891,665.0958,1.9443063,-9.692936,0.10071,1.0,118.54556,0.9281285,-4.63738,0.017074913,1.0,0.32199705,-36.687782,-81.720055,2.1844783,0.0038348242282867434,198.6484091281891,30000
14.577309,-18.780071,256.27344,664.0873,1.5005399,-9.852812,0.13268523,1.0,131.84444,0.8751921,-4.6315584,0.014746328,1.0,0.30547673,-37.497467,-86.73419,2.2084053,691.43567,2.0309534,-9.858913,0.13390581,1.0,129.21951,0.91989625,-4.6390667,0.01774977,1.0,0.26331228,-36.557205,-86.65929,2.655682,0.003832866668701172,217.81274676322937,35000
3.2313488,-4.6679897,137.56245,649.8535,1.5105257,-9.613451,0.08481335,1.0,111.40718,0.79953,-4.6467524,0.020823944,1.0,0.20610058,-39.277695,-90.30529,1.7790248,672.0143,1.823312,-9.649643,0.09205142,1.0,111.55026,0.8465395,-4.638607,0.0175659,1.0,0.20347495,-39.24157,-90.27276,1.2365584,0.0038370564460754393,236.99803161621094,40000
4.950558,-3.301314,146.7392,641.68933,1.5682023,-9.631826,0.088488325,1.0,94.51974,0.7858725,-4.6358004,0.016443057,1.0,0.19167355,-41.16018,-92.95758,1.6932524,664.45905,1.5919952,-9.647215,0.0915658,1.0,98.73539,0.77411675,-4.630764,0.014428607,1.0,0.14138505,-40.804695,-93.16712,1.5427113,0.0038432958602905272,256.2145137786865,45000
2.6939828,-4.1794853,147.45732,668.4686,1.7394199,-9.595066,0.08113607,1.0,108.68625,0.89537257,-4.6370153,0.01692917,1.0,0.12827381,-40.345284,-95.341736,2.2542808,672.1769,2.0312202,-9.600942,0.08231132,1.0,112.784805,0.84705037,-4.6463566,0.020665633,1.0,0.0771184,-41.58367,-95.45923,1.7041728,0.0038473260402679442,275.4511468410492,50000
